Position,Driver,Origin,Points
1,"Max
Verstappen
VER",NED,169
2,"Charles
Leclerc
LEC",MON,138
3,"Lando
Norris
NOR",GBR,113
4,"Carlos
Sainz
SAI",ESP,108
5,"Sergio
Perez
PER",MEX,107
6,"Oscar
Piastri
PIA",AUS,71
7,"George
Russell
RUS",GBR,54
8,"Lewis
Hamilton
HAM",GBR,42
9,"Fernando
Alonso
ALO",ESP,33
10,"Yuki
Tsunoda
TSU",JPN,19
11,"Lance
Stroll
STR",CAN,11
12,"Oliver
Bearman
BEA",GBR,6
13,"Nico
Hulkenberg
HUL",GER,6
14,"Daniel
Ricciardo
RIC",AUS,5
15,"Alexander
Albon
ALB",THA,2
16,"Esteban
Ocon
OCO",FRA,1
17,"Kevin
Magnussen
MAG",DEN,1
18,"Pierre
Gasly
GAS",FRA,1
19,"Zhou
Guanyu
ZHO",CHN,0
20,"Valtteri
Bottas
BOT",FIN,0
21,"Logan
Sargeant
SAR",USA,0
